"ID","Registry name","Temp.","RainType","Downfall","BiomeTypes","BiomeDictionary Types"
0,"minecraft:ocean",0.50,rain,"0.50","","OCEAN, OVERWORLD, WATER"
1,"minecraft:plains",0.80,rain,"0.40","COOL, DESERT, DESERT_LEGACY, WARM","OVERWORLD, PLAINS"
2,"minecraft:desert",2.00,-,"0.00","DESERT, DESERT_LEGACY","DRY, HOT, OVERWORLD, SANDY"
3,"minecraft:mountains",0.20,rain,"0.30","COOL, DESERT_LEGACY, WARM","HILLS, MOUNTAIN, OVERWORLD"
4,"minecraft:forest",0.70,rain,"0.80","COOL, DESERT_LEGACY, WARM","FOREST, OVERWORLD"
5,"minecraft:taiga",0.25,rain,"0.80","COOL, DESERT_LEGACY","COLD, CONIFEROUS, FOREST, OVERWORLD"
6,"minecraft:swamp",0.80,rain,"0.90","DESERT_LEGACY, WARM","OVERWORLD, SWAMP, WET"
7,"minecraft:river",0.50,rain,"0.50","","OVERWORLD, RIVER, WATER"
8,"minecraft:nether_wastes",2.00,-,"0.00","","DRY, HOT, NETHER"
9,"minecraft:the_end",0.50,-,"0.50","","COLD, DRY, END"
10,"minecraft:frozen_ocean",0.00,snow,"0.50","","COLD, OCEAN, OVERWORLD, SNOWY, WATER"
11,"minecraft:frozen_river",0.00,snow,"0.50","","COLD, OVERWORLD, RIVER, SNOWY, WATER"
12,"minecraft:snowy_tundra",0.00,snow,"0.50","ICY","COLD, OVERWORLD, SNOWY, WASTELAND"
13,"minecraft:snowy_mountains",0.00,snow,"0.50","","COLD, MOUNTAIN, OVERWORLD, SNOWY"
14,"minecraft:mushroom_fields",0.90,rain,"1.00","","MUSHROOM, OVERWORLD, RARE"
15,"minecraft:mushroom_field_shore",0.90,rain,"1.00","","BEACH, MUSHROOM, OVERWORLD, RARE"
16,"minecraft:beach",0.80,rain,"0.40","","BEACH, OVERWORLD"
17,"minecraft:desert_hills",2.00,-,"0.00","","DRY, HILLS, HOT, OVERWORLD, SANDY"
18,"minecraft:wooded_hills",0.70,rain,"0.80","","FOREST, HILLS, OVERWORLD"
19,"minecraft:taiga_hills",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, HILLS, OVERWORLD"
20,"minecraft:mountain_edge",0.20,rain,"0.30","","MOUNTAIN, OVERWORLD"
21,"minecraft:jungle",0.95,rain,"0.90","","DENSE, HOT, JUNGLE, OVERWORLD, WET"
22,"minecraft:jungle_hills",0.95,rain,"0.90","","DENSE, HILLS, HOT, JUNGLE, OVERWORLD, WET"
23,"minecraft:jungle_edge",0.95,rain,"0.80","","FOREST, HOT, JUNGLE, OVERWORLD, RARE, WET"
24,"minecraft:deep_ocean",0.50,rain,"0.50","","OCEAN, OVERWORLD, WATER"
25,"minecraft:stone_shore",0.20,rain,"0.30","","BEACH, OVERWORLD"
26,"minecraft:snowy_beach",0.05,snow,"0.30","","BEACH, COLD, OVERWORLD, SNOWY"
27,"minecraft:birch_forest",0.60,rain,"0.60","WARM","FOREST, OVERWORLD"
28,"minecraft:birch_forest_hills",0.60,rain,"0.60","","FOREST, HILLS, OVERWORLD"
29,"minecraft:dark_forest",0.70,rain,"0.80","WARM","DENSE, FOREST, OVERWORLD, SPOOKY"
